epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.087,1.75246,6.00955,3.63946,1.8837,0.00628,0.8682,0.03097,0.0159,0.00628,0.8682,0.03173,0.0159,0.98756,0.9905,3.8103,1.54217,7.272e-05,7.272e-05,7.272e-05
2,230.065,1.23877,2.81972,3.47892,1.55923,0.00552,0.88299,0.06578,0.03256,0.00552,0.88299,0.07316,0.03175,1.24094,0.57241,3.88778,1.49889,0.00015147,0.00015147,0.00015147
3,338.936,1.08682,1.27359,3.33014,1.43157,0.00672,0.9898,0.08759,0.03688,0.00672,0.9898,0.0876,0.03749,1.0802,0.41551,3.7918,1.3873,0.000226981,0.000226981,0.000226981
4,445.813,0.99192,0.72631,3.17069,1.37226,0.00759,0.92919,0.13522,0.05733,0.00747,0.91133,0.12871,0.05574,1.23895,0.63224,3.75792,1.69605,0.000299252,0.000299252,0.000299252
5,546.457,1.01188,0.48982,3.00272,1.36382,0.00639,0.82126,0.08366,0.05071,0.00639,0.82126,0.08381,0.05423,1.40339,0.56015,3.72183,1.78334,0.000368283,0.000368283,0.000368283
6,647.346,0.98085,0.3729,2.86462,1.35385,0.0061,0.82556,0.1188,0.06572,0.0061,0.82556,0.1188,0.06454,1.22584,0.59807,3.53539,1.65655,0.000434075,0.000434075,0.000434075
7,752.56,0.98777,0.40622,2.79284,1.3908,0.23888,0.23857,0.14575,0.08793,0.24182,0.24324,0.14575,0.08614,1.12946,0.62257,3.01462,1.58185,0.000496627,0.000496627,0.000496627
8,854.632,1.01168,0.4188,2.75624,1.41494,0.13867,0.29244,0.18883,0.08941,0.13867,0.29244,0.18575,0.08863,1.1147,0.44351,3.15447,1.49925,0.000555939,0.000555939,0.000555939
9,956.554,0.98072,0.34835,2.65657,1.40295,0.13414,0.28983,0.16135,0.08698,0.13414,0.28983,0.16135,0.08659,0.95121,0.41556,3.1528,1.34226,0.000612012,0.000612012,0.000612012
10,1060.55,0.99878,0.34832,2.60686,1.38576,0.12968,0.37183,0.2469,0.13908,0.12968,0.37183,0.24829,0.13767,1.05481,0.41436,3.0859,1.49143,0.000664844,0.000664844,0.000664844
11,1163.46,0.99543,0.36705,2.5776,1.39051,0.18433,0.42946,0.30875,0.18244,0.18433,0.42946,0.30911,0.17722,1.12801,0.25963,3.14317,1.51569,0.000714438,0.000714438,0.000714438
12,1265.01,1.05189,0.34922,2.58509,1.40946,0.18686,0.45886,0.32534,0.19835,0.18686,0.45886,0.32428,0.19967,1.1353,0.25682,2.9612,1.55501,0.00071102,0.00071102,0.00071102
13,1366.24,0.95664,0.3322,2.41906,1.32493,0.27418,0.43713,0.35572,0.21791,0.27418,0.43713,0.35572,0.21643,1.12291,0.25289,2.96455,1.5493,0.000693022,0.000693022,0.000693022
14,1469.51,0.94465,0.35721,2.412,1.31472,0.29162,0.43982,0.30428,0.16634,0.29162,0.43982,0.30428,0.16655,1.22162,0.25066,2.99628,1.62899,0.000675023,0.000675023,0.000675023
15,1570.95,0.9693,0.35356,2.40475,1.31498,0.21928,0.42549,0.30103,0.13959,0.21928,0.42549,0.30103,0.13547,1.10247,0.291,3.00329,1.49521,0.000657025,0.000657025,0.000657025
16,1671.12,0.9187,0.28776,2.33985,1.2634,0.14444,0.50719,0.24851,0.13158,0.14444,0.50719,0.24824,0.12855,1.12133,0.26101,4.71228,1.41746,0.000639027,0.000639027,0.000639027
17,1771.56,0.9666,0.35156,2.34416,1.29364,0.19063,0.52505,0.28539,0.1646,0.18583,0.51314,0.28084,0.16575,1.17919,0.27316,3.1987,1.57994,0.000621029,0.000621029,0.000621029
18,1870.41,0.94632,0.31729,2.23212,1.32535,0.17132,0.48325,0.28062,0.16833,0.17132,0.48325,0.28057,0.16673,1.18373,0.31608,3.16783,1.53836,0.000603031,0.000603031,0.000603031
19,1969.37,0.89514,0.27756,2.20256,1.27168,0.15183,0.4426,0.27518,0.15246,0.14141,0.40481,0.26791,0.14491,1.03169,0.27418,3.55298,1.32078,0.000585032,0.000585032,0.000585032
